Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
YI,"111, Inc.",8.34,66591188.7,7984555,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.88,35235500.16,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.2,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.9068,59342594.42,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",18.29,1173455088,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.61,30756324.5,n/a,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),18.94,162997223.3,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,47.78,1232943597,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",8.54,529964252.2,62056704,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",73.68,4283892245,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",16.93,52483000,3100000,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
TPNL,"3PEA International, Inc.",7.61,353104000,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl
JOBS,"51job, Inc.",70.58,2571664949,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,19.52,1867179705,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AAON,"AAON, Inc.",41.26,2144548533,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,7.61,364857538.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,3.35,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,1.88,6889592.76,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",348.06,15692565636,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.24,206590503.8,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,4.56,307173866.4,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",54.19,2181591912,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.05,151399923,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",30.41,2683868457,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26.6,3827271335,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACAMU,Acamar Partners Acquisition Corp.,10,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACST,"Acasti Pharma, Inc.",1.1,85941423.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",22.15,1201236053,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,45.94,2374659824,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,5.16,453458431.6,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.66,226580615.5,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,23.6,237250516.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACET,Aceto Corporation,0.1996,6155558.212,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",0.7735,37287516.58,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",2.45,16466702.35,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.67,370105173.9,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",33.07,3835446860,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",6.33,259126089,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",11.6,185643360.8,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,40.38,284518287.6,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",15.08,718311777.6,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ATVI,"Activision Blizzard, Inc",42.84,32722643119,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",11.8,322559289.4,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,2.9,137144938.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,4.57,349807761.8,76544368,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,66.5,871040607.5,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.37,14194970.04,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,6.12,180136949,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",3.51,25373765.43,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.507,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,4.17,193284683.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,264.01,1.28765E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",0.436,31711279.31,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",15.2,724283724,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",4.21,335576047.8,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",11.84,235801071,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",51.15,1954132349,n/a,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",23.68,25581477526,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",0.362,25232565.28,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",4.39,275992183.8,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.4,1680000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,24.33,16422750,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
BKCH,AdvisorShares Sabretooth ETF,25.96,2596000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bkch
ACT,AdvisorShares Vice ETF,25.24,13882000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,17.76,573896462.4,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
